Exchange,Name of index,January,February,March,April,May,June,July,August,September,October,November,December
BM&FBOVESPA S.A.,IBrX-50,9 135.62,9 253.32,9 805.65,9 402.58,8 795.55,8 293.40,9 252.00,8 883.22,9 520.77,9 643.36,9 287.99,9 634.08
Bolsa de Comercio de Buenos Aires,Burcap Index,8 098.81,7 879.70,8 502.19,8 625.61,7 826.63,7 799.42,8 602.15,8 258.42,9 275.91,10 224.57,10 781.40,11 857.45
Bolsa de Comercio de Santiago,IPSA,3 808.96,3 827.44,3 763.12,3 865.45,3 886.86,4 065.26,4 364.15,4 525.01,4 795.38,4 912.53,4 956.96,4 927.53
Bolsa de Valores de Lima,Indice Selectivo BVL (ISBVL),22 707.94,21 937.73,23 048.69,23 560.99,21 598.86,20 741.15,21 452.78,22 807.56,26 055.67,28 031.77,28 989.81,32 050.41
Bolsa Mexicana de Valores,IPC,30 391.61,31 634.54,33 266.43,32 687.32,32 038.53,31 156.97,32 308.73,31 679.85,33 330.34,36 198.60,36 817.32,38 550.79
Nasdaq - US,Nasdaq 100,1 741.04,1 818.68,1 958.34,2 000.63,1 852.39,1 739.14,1 864.00,1 767.43,1 998.04,2 124.45,2 117.33,2 217.86
NYSE,NYSE US 100,4 959.38,5 056.58,5 318.94,5 340.03,4 882.38,4 646.38,4 962.19,4 752.67,5 102.24,5 243.80,5 237.23,5 599.23
TMX Group,S&P/TSX 60,648.53,680.76,706.81,716.05,691.63,662.06,685.03,694.05,715.07,728.09,741.34,768.65
Australian Securities Exchange,ASX/S&P 50,4 591.24,4 673.10,4 909.80,4 828.50,4 444.00,4 328.90,4 517.50,4 406.70,4 571.90,4 647.50,4 555.60,4 693.30
BSE India Limited,S&P BSE SENSEX,16 357.96,16 429.55,17 527.77,17 558.71,16 944.63,17 700.90,17 868.29,17 971.12,20 069.12,20 032.34,19 521.25,20 509.09
Bursa Malaysia,Kuala Lumpur Composite,1 259.16,1 270.78,1 320.57,1 346.38,1 285.01,1 314.02,1 360.92,1 422.49,1 463.50,1 505.66,1 485.23,1 518.91
Colombo Stock Exchange,Milanka Price Index,4 181.79,4 354.73,4 270.73,4 712.40,4 757.40,5 278.35,5 854.73,5 889.16,7 552.70,7 241.77,6 988.54,7 061.46
Hong Kong Exchanges and Clearing,Hang Seng Index,20 121.99,20 608.70,21 239.35,21 108.59,19 765.19,20 128.99,21 029.81,20 536.49,22 358.17,23 096.32,23 007.99,23 035.45
Indonesia Stock Exchange,LQ45 Index,510.45,496.03,539.80,573.37,543.59,566.10,589.93,581.31,651.93,673.42,638.08,661.38
Japan Exchange Group - Osaka,OSE Adjusted 250 Issues,18 475.35,17 864.31,19 735.93,20 098.88,17 906.14,17 250.34,17 404.48,16 409.75,17 071.84,16 405.75,17 435.96,18 205.32
Japan Exchange Group - Tokyo,TOPIX Core 30,511.86,504.74,553.95,544.89,484.68,456.10,464.87,444.67,451.82,444.28,474.78,494.18
Korea Exchange,KOSPI 200,3 392.20,3 363.17,3 553.54,3 660.94,3 445.68,3 545.95,3 702.42,3 664.14,3 925.70,3 923.25,4 030.42,4 386.97
National Stock Exchange of India Limited,S&P CNX Nifty,4 882.05,4 922.30,5 249.10,5 278.00,5 086.30,5 312.50,5 367.60,5 402.40,6 029.95,6 017.70,5 862.70,6 134.50
Shanghai Stock Exchange,SSE 180 Index,6 935.84,7 081.67,7 276.19,6 673.54,5 993.66,5 574.23,6 175.08,6 131.26,6 150.93,7 075.84,6 532.94,6 517.60
Shenzhen Stock Exchange,SZSE 100 Index,4 240.13,4 388.78,4 409.57,4 009.57,3 682.46,3 358.12,3 873.96,4 103.10,4 179.17,4 827.44,4 529.26,4 545.75
Singapore Exchange,Straits Times Index,2 745.35,2 750.86,2 887.46,2 974.61,2 752.60,2 835.51,2 987.70,2 950.33,3 097.63,3 142.62,3 144.70,3 190.04
Taiwan Stock Exchange,TSEC Taiwan 50 Index,5 298.36,5 139.65,5 384.87,5 465.07,5 015.79,4 931.05,5 231.82,5 128.22,5 536.45,5 580.96,5 653.95,6 116.61
The Stock Exchange of Thailand,SET 50 Index,490.77,507.68,558.28,538.93,524.14,547.46,583.83,622.67,674.42,677.52,698.46,720.19
Athens Stock Exchange (ATHEX),FTSE/ASE 20,1 037.14,957.75,1 025.69,922.08,744.88,674.76,826.85,757.57,707.05,747.98,671.33,663.10
BME Spanish Exchanges,IBEX 35,10 947.70,10 333.60,10 871.30,10 492.20,9 359.40,9 263.40,10 499.80,10 187.00,10 514.50,10 812.90,9 267.20,9 859.10
Borsa Istanbul,ISE 30 Index,68 483.65,61 542.00,70 959.87,73 469.67,68 175.89,68 770.59,75 995.00,75 932.00,83 689.00,87 117.00,82 310.39,81 338.13
Borsa Italiana,S&P/MIB,21 896.29,21 068.32,22 848.00,21 562.00,19 544.00,19 312.00,21 022.00,19 735.00,20 505.00,21 451.00,19 106.00,20 173.00
Budapest Stock Exchange,BUX,21 831.46,21 267.81,24 245.55,24 764.76,22 103.42,21 050.43,22 265.63,22 561.54,23 239.93,23 146.69,20 639.64,21 327.07
Cyprus Stock Exchange,FTSE/CySE 20,507.94,475.63,506.67,465.36,404.38,362.24,446.65,430.24,422.22,443.07,375.63,357.45
Deutsche Boerse AG,DAX Performance Index,5 608.79,5 598.46,6 153.55,6 135.70,5 964.33,5 965.52,6 147.97,5 925.22,6 229.02,6 601.37,6 688.49,6 914.19
Euronext,Euronext 100,658.88,651.97,698.51,681.30,635.56,625.00,656.75,633.53,671.85,692.85,657.99,690.80
Euronext Amsterdam,AEX 25,327.90,317.74,344.22,345.91,320.70,316.81,330.64,316.47,334.39,337.23,327.41,354.57
Euronext Brussels,BEL 20,2 505.20,2 514.87,2 648.46,2 560.99,2 453.37,2 386.53,2 517.30,2 457.46,2 589.73,2 679.07,2 506.13,2 578.60
Euronext Lisbon,PSI 20,7 927.31,7 559.17,8 102.15,7 408.45,7 072.01,7 065.65,7 371.79,7 394.15,7 507.57,8 082.76,7 322.89,7 588.31
Euronext Paris,CAC 40,3 739.46,3 708.80,3 974.01,3 816.99,3 507.56,3 442.89,3 643.14,3 490.79,3 715.18,3 833.50,3 610.44,3 804.78
Irish Stock Exchange,ISEQ 20,475.15,458.59,509.91,537.07,468.25,455.97,474.20,448.17,440.83,441.95,427.12,462.86
Johannesburg Stock Exchange,FTSE/JSE Top 40,24 041.26,23 994.59,25 833.44,25 629.93,24 157.99,23 294.83,25 224.60,24 127.05,26 154.31,27 053.68,26 844.52,28 639.40
Ljubljana Stock Exchange,SBI 20,999.76,960.01,965.95,954.01,882.66,880.02,813.48,818.46,830.94,865.40,842.76,850.35
London Stock Exchange,FTSE 100,5 188.52,5 354.50,5 679.64,5 553.29,5 188.43,4 916.87,5 258.02,5 396.48,5 549.00,5 675.00,5 528.27,5 900.00
Luxembourg Stock Exchange,LuxX,1 363.96,1 404.69,1 542.85,1 466.01,1 388.12,1 384.13,1 457.26,1 407.04,1 445.12,1 444.38,1 421.22,1 542.12
MICEX ,MICEX 10 Index,3 309.19,3 092.09,3 456.62,3 411.22,3 191.19,3 057.69,3 347.18,3 252.34,3 391.94,3 633.40,3 756.58,3 931.78
Nasdaq Nordic Exchanges,OMX Nordic 40 (OMXN40),855.86,875.18,954.07,975.04,911.99,917.94,961.00,934.91,1 014.92,1 014.85,1 030.80,1 105.03
NASDAQ OMX Nordic Copenhagen,OMXC20,354.85,354.77,383.04,411.50,388.69,393.02,410.83,396.38,416.96,424.20,424.77,457.58
NASDAQ OMX Nordic Helsinki ,OMXH25,2 057.18,2 071.79,2 246.04,2 248.71,2 100.78,2 094.53,2 231.87,2 209.93,2 414.67,2 450.09,2 430.28,2 628.48
NASDAQ OMX Nordic Iceland ,OMX Iceland 8 CAP (OMXI8CAP),824.51,895.30,948.10,976.46,876.29,868.08,904.55,889.31,834.38,837.02,820.50,841.55
NASDAQ OMX Nordic Stockholm ,OMXS30,953.71,947.39,1 021.08,1 053.88,980.63,1 005.93,1 047.26,1 011.70,1 087.71,1 089.32,1 107.05,1 155.57
Oslo Bors,OBX Index,329.81,317.57,342.61,348.15,313.20,299.43,327.73,322.09,349.95,371.22,361.25,400.40
SIX Swiss Exchange,SMI,6 440.72,6 710.99,6 873.37,6 616.82,6 312.60,6 128.06,6 200.78,6 180.89,6 296.33,6 472.23,6 312.43,6 436.04
Stock Exchange of Mauritius,SEM-7,366.77,342.57,339.17,349.37,326.63,333.78,340.49,336.21,338.33,354.57,362.88,373.22
Tehran Stock Exchange,TSE 50,500.90,523.30,570.40,612.90,613.30,638.00,718.10,810.60,840.80,811.30,806.30,845.70
Tel-Aviv Stock Exchange,TA 25,1 119.73,1 159.61,1 229.07,1 164.23,1 082.74,1 062.45,1 118.59,1 134.98,1 225.92,1 273.98,1 246.45,1 326.44
The Egyptian Exchange,DJ/CASE Egypt Titans 20 Index,1 423.02,1 404.95,1 442.97,1 579.96,1 405.14,1 303.55,1 356.43,1 380.37,1 425.33,1 429.91,1 446.76,1 532.78
Warsaw Stock Exchange,WIG 20,2 382.64,2 265.01,2 495.60,2 547.52,2 433.81,2 271.03,2 474.67,2 431.11,2 615.22,2 651.27,2 611.60,2 744.17
Wiener Borse,ATX (Austrian Traded Index),2 493.53,2 438.95,2 634.00,2 650.32,2 422.63,2 278.80,2 483.86,2 402.02,2 541.63,2 668.07,2 607.50,2 904.47